"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 25, 2021","41.27","39.40","41.41","39.25","46.62M","6.15%"
"Oct 22, 2021","38.88","39.96","40.39","38.54","28.02M","-2.73%"
"Oct 21, 2021","39.97","39.51","40.60","39.37","25.19M","0.48%"
"Oct 20, 2021","39.78","39.97","40.34","39.16","24.92M","-0.62%"
"Oct 19, 2021","40.03","40.27","40.90","39.56","37.82M","1.06%"
"Oct 18, 2021","39.61","37.49","39.84","37.27","43.17M","5.04%"
"Oct 15, 2021","37.71","36.99","38.29","36.94","48.17M","3.94%"
"Oct 14, 2021","36.28","36.21","36.45","35.60","29.71M","0.11%"
"Oct 13, 2021","36.24","35.78","36.68","35.47","33.18M","2.06%"
"Oct 12, 2021","35.51","35.70","36.04","35.18","26.59M","-0.36%"
"Oct 11, 2021","35.64","36.09","36.52","35.53","25.22M","-0.53%"
"Oct 08, 2021","35.83","36.44","36.55","35.83","31.96M","-0.44%"
"Oct 07, 2021","35.99","35.44","36.64","34.91","67.33M","6.92%"
"Oct 06, 2021","33.66","33.41","34.16","33.17","22.76M","-0.62%"
"Oct 05, 2021","33.87","33.30","34.31","33.27","26.28M","1.41%"
"Oct 04, 2021","33.40","35.02","35.02","33.28","40.49M","-5.60%"
"Oct 01, 2021","35.38","36.58","36.58","35.26","34.92M","-0.70%"
"Sep 30, 2021","35.63","35.63","35.98","35.29","25.64M","1.42%"
"Sep 29, 2021","35.13","35.44","36.36","35.02","33.42M","0.23%"
"Sep 28, 2021","35.05","36.28","37.03","34.93","37.19M","-4.68%"
"Sep 27, 2021","36.77","35.43","36.86","34.42","35.89M","3.93%"
"Sep 24, 2021","35.38","35.59","36.07","35.20","23.76M","-1.75%"
"Sep 23, 2021","36.01","36.20","36.50","35.57","27.02M","0.87%"
"Sep 22, 2021","35.70","35.21","35.83","35.12","26.61M","2.29%"
"Sep 21, 2021","34.90","35.52","35.82","34.88","31.51M","-0.77%"
"Sep 20, 2021","35.17","36.11","36.31","34.54","57.27M","-6.24%"
